station,cape,lifted_index,sweat_index,k_index,pwat,storm_probability,forecast,created_at
Visakhapatnam,3009.66,-4.82,313.01,29.55,66.87,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.883152
Chennai,1630.64,-3.04,417.35,42.67,44.01,97,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.897524
Chennai,2463.62,-6.96,232.47,38.39,42.41,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.908626
Kolkata,2915.31,-2.38,187.5,37.45,63.61,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.916168
Kolkata,1965.45,-5.14,258.78,29.24,50.85,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.921837
Hyderabad,1242.74,-3.91,381.0,36.41,68.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.930141
Hyderabad,1434.45,-4.35,236.29,25.18,57.76,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.936730
Bhubaneswar,2698.99,-5.42,395.79,28.69,41.65,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.944304
Bhubaneswar,2706.63,-2.67,203.03,44.04,78.01,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.954170
Visakhapatnam,1661.99,-7.79,405.57,35.3,59.53,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:19:12.167052
Chennai,1537.29,-2.55,415.62,40.58,59.39,99,SEVERE THUNDERSTORM RISK,2026-05-22 18:19:12.192512
Kolkata,1486.5,-8.6,357.43,27.18,74.93,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:19:12.215845
Hyderabad,1841.72,-2.46,207.18,42.75,73.92,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:19:12.238032
Bhubaneswar,2523.5,-7.11,337.89,39.46,79.11,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:19:12.260042
Visakhapatnam,1633.35,-6.33,396.66,43.43,70.5,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.270596
Visakhapatnam,2757.11,-1.06,262.31,43.17,73.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.291534
Chennai,3118.38,-2.79,361.05,38.81,59.52,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.308246
Chennai,1906.4,-8.04,403.04,38.83,76.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.324478
Kolkata,1320.44,-6.14,321.43,34.46,55.42,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.338595
Kolkata,2919.04,-4.08,279.44,32.55,74.27,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.356557
Hyderabad,1461.54,-8.29,181.71,33.64,43.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.362944
Hyderabad,1872.65,-2.88,286.89,36.79,38.59,99,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.389013
Bhubaneswar,2308.6,-4.34,216.44,28.97,76.68,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.399465
Bhubaneswar,1302.39,-5.31,322.48,37.37,44.1,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:17.415776
Visakhapatnam,2079.68,-2.91,221.65,28.67,40.48,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:45.156987
Chennai,1424.91,-2.39,206.13,30.99,70.36,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:45.170304
Kolkata,2915.89,-7.03,391.48,42.77,55.91,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:45.183814
Hyderabad,3464.1,-3.48,188.7,32.77,70.24,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:45.196415
Bhubaneswar,2709.59,-4.43,230.93,26.23,44.77,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:45.215642
Visakhapatnam,1592.16,-6.06,305.7,32.22,76.44,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.650589
Visakhapatnam,1600.6,-5.35,280.12,28.26,43.29,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.654769
Chennai,3357.42,-2.25,284.55,39.17,44.26,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.674358
Chennai,2231.27,-3.55,244.03,26.66,47.89,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.679448
Kolkata,3161.04,-8.11,237.65,34.68,46.61,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.701809
Kolkata,1959.05,-5.77,316.26,42.51,78.22,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.703347
Hyderabad,2857.9,-7.64,337.59,35.12,75.82,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.721749
Hyderabad,2544.39,-6.72,315.16,36.02,46.32,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.724138
Bhubaneswar,2953.11,-5.46,390.62,41.51,68.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.743800
Bhubaneswar,1327.85,-1.34,254.57,44.07,59.89,84,SEVERE THUNDERSTORM RISK,2026-05-22 18:20:48.750976
Visakhapatnam,2366.04,-8.5,363.58,30.65,35.42,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:21:35.607483
Chennai,1404.6,-1.55,381.14,29.63,70.44,94,SEVERE THUNDERSTORM RISK,2026-05-22 18:21:35.622785
Kolkata,3189.78,-2.01,401.42,44.39,51.5,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:21:35.637379
Hyderabad,1418.47,-8.98,278.13,38.69,56.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:21:35.652177
Bhubaneswar,2348.68,-2.22,415.12,39.76,52.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:21:35.666859
Visakhapatnam,1798.14,-2.3,265.91,31.67,60.71,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:24:12.961920
Chennai,2224.64,-2.5,205.34,31.12,71.97,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:24:12.984062
Kolkata,2395.1,-3.01,311.27,39.99,51.45,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:24:13.002959
Hyderabad,1564.01,-3.82,366.82,37.51,70.51,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:24:13.023572
Bhubaneswar,3318.09,-3.27,201.63,32.63,52.04,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:24:13.041504
Visakhapatnam,2594.13,-8.32,209.66,42.15,37.67,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:25:45.212950
Chennai,3168.38,-2.15,265.52,36.97,44.35,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:25:45.235121
Kolkata,3422.05,-1.97,302.55,35.14,47.67,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:25:45.251072
Hyderabad,3113.42,-7.17,281.47,35.33,35.91,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:25:45.270405
Bhubaneswar,1899.42,-2.72,244.41,39.83,36.29,97,SEVERE THUNDERSTORM RISK,2026-05-22 18:25:45.289998
Visakhapatnam,1258.23,-8.48,202.57,34.51,55.06,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:26:35.645496
Chennai,1916.83,-8.9,261.8,42.81,78.46,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:26:35.663078
Kolkata,1288.26,-3.89,306.36,28.19,78.87,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:26:35.677705
Hyderabad,2183.51,-1.95,407.99,25.19,50.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:26:35.693447
Bhubaneswar,2791.1,-4.44,295.01,27.16,59.52,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:26:35.709281
Visakhapatnam,1513.53,-7.44,273.03,32.65,40.22,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:29:13.036340
Chennai,2428.46,-6.91,235.02,36.81,54.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:29:13.055121
Kolkata,2144.73,-6.17,234.02,33.2,61.73,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:29:13.074190
Hyderabad,3262.72,-8.94,399.68,38.9,77.64,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:29:13.095828
Bhubaneswar,2501.1,-7.89,241.14,31.04,46.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:29:13.122446
Visakhapatnam,2908.73,-4.52,322.7,41.03,52.43,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:30:47.143295
Chennai,2696.18,-7.91,403.62,33.17,57.04,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:30:47.172570
Kolkata,2017.11,-2.67,342.26,31.16,42.29,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:30:47.195163
Hyderabad,2466.54,-6.78,341.85,25.48,59.13,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:30:47.220278
Bhubaneswar,2609.31,-3.72,221.72,38.49,77.07,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:30:47.239394
Visakhapatnam,3232.69,-1.64,196.94,33.62,72.62,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:31:35.683910
Chennai,2702.29,-7.86,243.72,37.63,75.5,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:31:35.701390
Kolkata,1396.38,-5.13,291.71,32.22,43.22,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:31:35.720680
Hyderabad,3264.34,-2.22,255.0,26.98,48.11,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:31:35.739968
Bhubaneswar,2824.49,-6.39,223.62,37.28,60.59,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:31:35.758372
Visakhapatnam,2520.52,-2.21,414.29,27.99,48.61,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:34:13.399022
Chennai,1290.19,-8.35,380.19,32.22,73.3,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:34:13.424605
Kolkata,1266.46,-7.4,367.35,25.58,73.02,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:34:13.445766
Hyderabad,2460.04,-7.94,402.27,35.31,43.37,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:34:13.466337
Bhubaneswar,3341.07,-6.26,246.66,41.87,56.38,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:34:13.485091
Visakhapatnam,2413.94,-2.94,371.47,42.75,59.14,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:35:47.178536
Chennai,2187.4,-5.14,240.87,40.68,72.69,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:35:47.201948
Kolkata,1926.05,-6.72,392.85,29.18,58.17,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:35:47.228360
Hyderabad,2030.78,-1.61,275.86,34.49,79.08,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:35:47.252615
Bhubaneswar,1799.89,-3.62,407.22,35.06,58.15,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:35:47.276005
Visakhapatnam,2821.18,-4.34,373.46,37.89,66.24,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:36:35.759605
Chennai,1895.46,-8.1,196.75,42.98,68.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:36:35.781402
Kolkata,3181.96,-5.76,194.31,26.46,42.04,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:36:35.800453
Hyderabad,3360.37,-1.72,362.19,25.4,56.51,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:36:35.814427
Bhubaneswar,1371.93,-6.07,334.46,38.45,79.41,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:36:35.829900
Visakhapatnam,2570.71,-1.65,279.95,28.13,41.92,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:39:14.370082
Chennai,1487.63,-2.01,325.36,44.33,41.88,83,SEVERE THUNDERSTORM RISK,2026-05-22 18:39:14.393785
Kolkata,3274.31,-2.29,345.54,37.33,69.47,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:39:14.415983
Hyderabad,1666.79,-5.04,241.73,32.07,56.56,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:39:14.436116
Bhubaneswar,1273.14,-7.22,320.1,42.13,46.65,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:39:14.455156
Visakhapatnam,1229.04,-1.84,402.69,37.78,46.13,77,HIGH THUNDERSTORM RISK,2026-05-22 18:40:49.837199
Chennai,1594.09,-1.75,366.83,25.68,70.57,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:40:49.852645
Kolkata,2947.91,-3.99,269.44,35.29,38.93,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:40:49.867535
Hyderabad,1787.43,-7.34,269.52,32.44,45.96,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:40:49.885733
Bhubaneswar,1908.23,-4.94,387.98,33.32,36.92,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:40:49.901711
Visakhapatnam,2332.0,-1.85,296.8,37.95,57.95,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:36.814647
Chennai,2646.17,-5.96,230.83,38.37,62.74,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:36.832550
Kolkata,3215.41,-5.16,188.45,36.37,45.57,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:36.848549
Hyderabad,1899.76,-7.78,305.75,27.41,47.68,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:36.864757
Bhubaneswar,2654.86,-1.37,397.62,31.92,61.67,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:36.882621
Visakhapatnam,2760.39,-5.13,402.18,40.46,67.01,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.409222
Chennai,2354.17,-5.81,269.19,34.16,54.52,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.426967
Kolkata,1948.4,-2.93,246.16,42.24,65.62,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.441539
Hyderabad,2435.38,-5.03,394.29,35.92,77.72,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.459970
Bhubaneswar,2054.34,-6.23,210.38,32.84,48.83,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.474384
Visakhapatnam,1940.14,-4.17,286.72,35.92,62.22,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.595987
Chennai,1929.5,-2.83,372.86,40.85,71.96,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.628613
Kolkata,1864.33,-6.72,310.2,31.26,51.43,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.653193
Hyderabad,2406.88,-5.65,182.51,38.26,47.74,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.670245
Bhubaneswar,3147.95,-8.36,312.82,27.58,35.96,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:41:49.683548
Visakhapatnam,3375.22,-5.59,413.79,25.21,78.88,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.885417
Visakhapatnam,2593.95,-1.21,394.44,42.14,78.05,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.901384
Chennai,2111.45,-4.67,414.38,39.56,74.95,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.903167
Kolkata,1823.61,-6.29,335.65,28.7,75.15,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.925935
Chennai,2284.1,-5.66,279.57,42.54,54.3,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.926189
Visakhapatnam,2240.14,-8.71,304.17,40.05,74.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.953857
Kolkata,1813.44,-1.95,332.64,42.8,37.74,90,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.957900
Visakhapatnam,2797.9,-5.91,278.64,43.05,64.26,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.960948
Hyderabad,2214.04,-4.06,246.77,43.98,45.14,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.967684
Chennai,1480.98,-4.87,414.95,32.63,43.17,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.982053
Chennai,1644.92,-5.38,298.56,25.99,66.22,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.990486
Hyderabad,1366.47,-7.84,351.27,44.64,50.5,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:17.991371
Kolkata,1975.36,-2.76,297.33,32.9,75.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.004767
Bhubaneswar,3001.23,-3.9,264.11,38.51,63.01,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.007159
Kolkata,3431.47,-6.74,260.6,34.42,57.86,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.015634
Bhubaneswar,3165.14,-9.0,229.67,32.88,51.55,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.039171
Hyderabad,2403.64,-4.72,287.12,26.37,71.75,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.041762
Hyderabad,2815.69,-6.61,325.89,41.12,67.3,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.043776
Bhubaneswar,1744.82,-2.67,343.76,29.0,35.88,92,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.065411
Bhubaneswar,1580.92,-2.76,259.01,41.78,56.96,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:42:18.068744
Visakhapatnam,2541.82,-2.08,298.23,37.95,44.12,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:44:14.585426
Chennai,2447.12,-8.19,227.37,27.47,67.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:44:14.612136
Kolkata,3001.43,-7.34,214.65,40.69,76.35,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:44:14.630719
Hyderabad,1574.04,-1.5,330.23,26.21,71.18,99,SEVERE THUNDERSTORM RISK,2026-05-22 18:44:14.648536
Bhubaneswar,3154.02,-5.5,208.89,32.34,36.41,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:44:14.665013
Visakhapatnam,1314.16,-6.64,417.23,39.01,45.81,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.129703
Visakhapatnam,2924.58,-7.61,252.88,28.41,78.99,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.130708
Chennai,3467.18,-6.51,248.29,39.69,72.65,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.149822
Chennai,2350.05,-1.07,204.05,32.21,53.96,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.150983
Kolkata,2775.18,-2.8,402.22,36.06,44.59,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.164193
Kolkata,3065.78,-2.3,190.28,43.83,78.98,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.166751
Hyderabad,2098.34,-8.04,188.63,25.62,42.39,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.180850
Hyderabad,3048.65,-6.38,269.32,35.47,35.08,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.182541
Bhubaneswar,1931.61,-5.0,196.45,26.42,45.88,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.195666
Bhubaneswar,2504.8,-3.4,370.55,36.26,45.84,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:45.204190
Visakhapatnam,1200.4,-5.57,353.35,26.62,73.65,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:50.099468
Chennai,2841.22,-5.75,383.69,27.56,52.83,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:50.119166
Kolkata,3220.1,-4.8,322.91,31.48,41.4,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:50.141775
Hyderabad,3268.25,-2.04,338.79,29.85,62.16,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:50.168129
Bhubaneswar,3333.69,-8.46,218.71,28.02,45.32,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:45:50.200835
Visakhapatnam,1718.94,-4.5,284.57,35.9,49.14,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:47:18.567062
Chennai,2989.54,-4.94,218.77,44.79,74.62,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:47:18.610347
Kolkata,2026.59,-7.2,317.8,39.49,46.07,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:47:18.640967
Hyderabad,2846.22,-3.09,353.69,26.88,54.55,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:47:18.660364
Bhubaneswar,3495.63,-8.19,419.61,42.46,55.2,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:47:18.676869
Visakhapatnam,3007.29,-5.37,392.86,28.86,39.9,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:50:52.137333
Chennai,1229.31,-5.04,198.88,35.77,60.88,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:50:52.173513
Kolkata,1389.04,-3.53,346.7,32.32,58.69,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:50:52.195689
Hyderabad,2767.41,-5.69,195.65,39.18,46.84,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:50:52.215101
Bhubaneswar,1760.92,-1.89,283.46,41.03,54.55,98,SEVERE THUNDERSTORM RISK,2026-05-22 18:50:52.240097
Visakhapatnam,1819.98,-7.6,399.57,42.09,75.32,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:55:52.790594
Chennai,2055.96,-4.67,305.41,41.14,54.9,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:55:52.816822
Kolkata,1941.68,-6.89,280.09,30.03,65.47,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:55:52.835203
Hyderabad,1333.85,-7.91,279.92,33.77,44.64,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:55:52.851102
Bhubaneswar,3327.94,-5.21,210.79,39.53,66.34,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:55:52.868680
Visakhapatnam,1314.95,-4.97,216.99,33.32,75.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:01:24.500712
Chennai,2775.29,-1.89,367.31,30.07,66.11,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:01:24.579391
Kolkata,1693.52,-2.99,248.4,30.67,52.29,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:01:24.629187
Hyderabad,2629.1,-5.98,415.14,25.43,44.9,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:01:24.667126
Bhubaneswar,1652.72,-2.41,397.38,36.07,40.9,91,SEVERE THUNDERSTORM RISK,2026-05-22 19:01:24.711896
Visakhapatnam,2578.3,-8.3,314.65,33.55,71.95,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:06:21.518982
Chennai,3108.29,-6.99,342.62,28.76,49.49,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:06:21.542438
Kolkata,2913.85,-3.98,231.52,39.99,49.69,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:06:21.562252
Hyderabad,3247.91,-2.89,188.93,27.24,48.14,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:06:21.579693
Bhubaneswar,1614.05,-7.63,322.91,32.54,35.39,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:06:21.598486
Visakhapatnam,2220.74,-8.62,234.0,44.1,53.91,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.576761
Chennai,2110.73,-7.05,281.94,36.36,38.02,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.596050
Kolkata,3326.27,-5.06,195.86,27.98,41.95,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.621103
Hyderabad,1300.42,-8.85,414.87,32.65,74.54,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.638771
Bhubaneswar,2983.72,-7.07,345.62,31.71,54.0,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.656260
Visakhapatnam,2880.69,-8.89,342.29,27.83,50.15,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.684264
Chennai,1483.73,-8.91,270.69,42.61,57.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.704506
Kolkata,2682.42,-4.92,336.81,27.9,79.35,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.725079
Hyderabad,2148.96,-3.28,319.52,25.78,73.12,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.745104
Bhubaneswar,1285.79,-3.66,210.9,39.6,74.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 19:08:05.765981
Visakhapatnam,1854.6,-4.05,188.84,33.55,67.37,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.628577
Chennai,2259.76,-6.66,355.39,42.7,78.83,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.647798
Kolkata,1566.71,-7.78,213.89,44.4,53.27,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.665738
Hyderabad,2414.16,-8.35,216.04,27.6,44.31,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.683481
Bhubaneswar,1565.44,-3.09,262.41,33.24,53.75,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.707021
Visakhapatnam,3145.34,-3.9,381.28,43.16,79.59,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.738503
Chennai,1454.6,-4.95,324.46,27.55,60.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.761722
Kolkata,1927.4,-7.17,322.46,44.23,36.35,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.800448
Hyderabad,1448.35,-4.72,373.85,37.84,61.36,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.835368
Bhubaneswar,3332.87,-3.12,345.34,34.26,42.39,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:32:45.858764
Visakhapatnam,2495.59,-6.54,183.79,36.93,74.24,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:37:45.631573
Chennai,1637.15,-7.09,400.94,26.89,69.24,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:37:45.656881
Kolkata,2098.18,-8.84,181.0,35.6,77.97,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:37:45.685744
Hyderabad,1258.06,-8.73,371.83,40.17,63.26,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:37:45.709696
Bhubaneswar,2523.24,-8.82,289.97,39.11,49.04,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:37:45.733744
Visakhapatnam,2148.84,-2.35,312.14,35.15,66.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:12.949444
Visakhapatnam,2000.56,-2.05,193.69,38.79,45.19,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:12.951762
Chennai,1382.92,-5.97,346.26,42.06,77.02,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:12.988904
Chennai,2494.25,-1.52,201.26,32.84,61.98,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:12.990140
Kolkata,2412.72,-1.49,387.3,34.06,43.26,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.028632
Kolkata,2731.51,-4.6,254.86,38.52,50.3,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.029142
Hyderabad,1476.66,-5.6,380.91,28.25,71.85,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.060074
Hyderabad,1719.7,-1.94,352.9,41.15,39.2,88,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.060231
Bhubaneswar,1289.9,-2.49,405.96,28.25,73.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.083905
Bhubaneswar,2516.35,-6.86,310.54,27.83,51.34,100,SEVERE THUNDERSTORM RISK,2026-05-22 21:42:13.096454
